"","appl_no","approval_date1","appl_type","doc_type1","ingredient","df_new","trade_name","productmktstatus","applicant","reviewpriority1","combination_totalnumber","approval_year","generics_presence"
"1","NDA208743",2017-04-28,1,7,"ABALOPARATIDE","SOLUTION;SUBCUTANEOUS","TYMLOS",1,"RADIUS","STANDARD",0,2017,0
"2","NDA206966",2020-07-24,1,7,"ABAMETAPIR","LOTION;TOPICAL","XEGLYZE",3,"HATCHTECH","STANDARD",0,2020,0
"3","NDA208716",2017-09-28,1,7,"ABEMACICLIB","TABLET;ORAL","VERZENIO",1,"ELI LILLY AND CO","PRIORITY",0,2017,0
"4","NDA202379",2011-04-28,1,7,"ABIRATERONE ACETATE","TABLET;ORAL","ZYTIGA",1,"JANSSEN BIOTECH","PRIORITY",1,2011,1
"5","NDA210308",2018-05-22,1,15,"ABIRATERONE ACETATE","TABLET;ORAL","YONSA",1,"SUN PHARM","STANDARD",NA,2018,1
"6","NDA213871",2022-01-14,1,7,"ABROCITINIB","TABLET;ORAL","CIBINQO",1,"PFIZER","PRIORITY",0,2022,0
"7","NDA210259",2017-10-31,1,7,"ACALABRUTINIB","CAPSULE;ORAL","CALQUENCE",1,"ASTRAZENECA","PRIORITY",0,2017,0
"8","NDA216387",2022-08-03,1,12,"ACALABRUTINIB","TABLET;ORAL","CALQUENCE",1,"ASTRAZENECA","STANDARD",NA,2022,0
"9","NDA202450",2012-07-23,1,7,"ACLIDINIUM BROMIDE","POWDER, METERED;INHALATION","TUDORZA PRESSAIR",1,"COVIS","STANDARD",1,2012,0
"10","NDA216340",2022-12-12,1,7,"ADAGRASIB","TABLET;ORAL","KRAZATI",1,"MIRATI THERAPS","STANDARD",0,2022,0
"11","NDA210797",2019-10-08,1,7,"AFAMELANOTIDE","IMPLANT;SUBCUTANEOUS","SCENESSE",1,"CLIVUNEL INC","PRIORITY",0,2019,0
"12","NDA201292",2013-07-12,1,7,"AFATINIB DIMALEATE","TABLET;ORAL","GILOTRIF",1,"BOEHRINGER INGELHEIM","PRIORITY",0,2013,0
"13","NDA212279",2019-11-07,1,7,"AIR POLYMER-TYPE A","FOAM;INTRAUTERINE","EXEM FOAM KIT",1,"GISKIT","STANDARD",0,2019,0
"14","NDA208434",2015-12-11,1,7,"ALECTINIB HYDROCHLORIDE","CAPSULE;ORAL","ALECENSA",1,"HOFFMANN-LA ROCHE","PRIORITY",0,2015,0
"15","NDA021985",2007-03-05,1,7,"ALISKIREN HEMIFUMARATE","TABLET;ORAL","TEKTURNA",1,"NODEN PHARMA","STANDARD",4,2007,1
"16","NDA210709",2017-11-14,1,12,"ALISKIREN HEMIFUMARATE","CAPSULE, PELLET;ORAL","TEKTURNA",3,"NODEN PHARMA","PRIORITY",NA,2017,1
"17","NDA022271",2013-01-25,1,7,"ALOGLIPTIN BENZOATE","TABLET;ORAL","NESINA",1,"TAKEDA PHARMS USA","STANDARD",2,2013,0
"18","NDA212526",2019-05-24,1,7,"ALPELISIB","TABLET;ORAL","PIQRAY",1,"NOVARTIS","PRIORITY",0,2019,0
"19","NDA218466",2024-04-24,1,12,"ALPELISIB","GRANULES;ORAL","VIJOICE",1,"NOVARTIS","STANDARD",NA,2024,0
"20","NDA218466",2024-04-24,1,12,"ALPELISIB","TABLET;ORAL","VIJOICE",1,"NOVARTIS","STANDARD",NA,2024,0
"21","NDA021775",2008-05-20,1,7,"ALVIMOPAN","CAPSULE;ORAL","ENTEREG",3,"CUBIST PHARMS","STANDARD",0,2008,1
"22","NDA022081",2007-06-15,1,7,"AMBRISENTAN","TABLET;ORAL","LETAIRIS",1,"GILEAD","PRIORITY",0,2007,1
"23","NDA208078",2018-11-28,1,7,"AMIFAMPRIDINE PHOSPHATE","TABLET;ORAL","FIRDAPSE",1,"CATALYST PHARMS","PRIORITY",0,2018,0
"24","NDA209510",2020-02-26,1,7,"AMISULPRIDE","SOLUTION;INTRAVENOUS","BARHEMSYS",1,"ACACIA","STANDARD",0,2020,0
"25","NDA022119",2007-08-23,1,7,"AMMONIA N-13","INJECTABLE;INTRAVENOUS","AMMONIA N 13",1,"FEINSTEIN","STANDARD",0,2007,1
"26","NDA215152",2022-05-03,1,8,"AMOXICILLIN; CLARITHROMYCIN; VONOPRAZAN FUMARATE","CAPSULE, TABLET, TABLET;ORAL","VOQUEZNA TRIPLE PAK",1,"PHATHOM","PRIORITY",0,2022,0
"27","NDA209360",2017-12-21,1,7,"ANGIOTENSIN II ACETATE","SOLUTION;INTRAVENOUS","GIAPREZA",1,"LA JOLLA PHARMA","PRIORITY",0,2017,0
"28","NDA210951",2018-02-14,1,7,"APALUTAMIDE","TABLET;ORAL","ERLEADA",1,"JANSSEN BIOTECH","PRIORITY",0,2018,0
"29","NDA202155",2012-12-28,1,7,"APIXABAN","TABLET;ORAL","ELIQUIS",1,"BRISTOL MYERS SQUIBB","PRIORITY",0,2012,1
"30","NDA205437",2014-03-21,1,7,"APREMILAST","TABLET;ORAL","OTEZLA",1,"AMGEN INC","STANDARD",0,2014,1
"31","NDA217686",2024-03-19,1,7,"APROCITENTAN","TABLET;ORAL","TRYVIO",1,"IDORSIA","STANDARD",0,2024,0
"32","NDA207533",2015-10-05,1,7,"ARIPIPRAZOLE LAUROXIL","SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","ARISTADA",1,"ALKERMES INC","STANDARD",0,2015,0
"33","NDA209830",2018-06-29,1,15,"ARIPIPRAZOLE LAUROXIL","SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","ARISTADA INITIO KIT",1,"ALKERMES INC","STANDARD",NA,2018,0
"34","NDA213036",2020-05-26,1,7,"ARTESUNATE","POWDER;INTRAVENOUS","ARTESUNATE",1,"AMIVAS","PRIORITY",0,2020,0
"35","NDA215358",2021-10-29,1,7,"ASCIMINIB HYDROCHLORIDE","TABLET;ORAL","SCEMBLIX",1,"NOVARTIS","PRIORITY",0,2021,0
"36","NDA022117",2009-08-13,1,7,"ASENAPINE MALEATE","TABLET;SUBLINGUAL","SAPHRIS",1,"ALLERGAN","STANDARD",0,2009,1
"37","NDA215206",2021-09-28,1,7,"ATOGEPANT","TABLET;ORAL","QULIPTA",1,"ABBVIE","PRIORITY",0,2021,0
"38","NDA217225",2023-08-04,1,7,"AVACINCAPTAD PEGOL SODIUM","SOLUTION;INTRAVITREAL","IZERVAY",1,"ASTELLAS","PRIORITY",0,2023,0
"39","NDA214487",2021-10-07,1,7,"AVACOPAN","CAPSULE;ORAL","TAVNEOS",1,"CHEMOCENTRYX","STANDARD",0,2021,0
"40","NDA202276",2012-04-27,1,7,"AVANAFIL","TABLET;ORAL","STENDRA",1,"METUCHEN PHARMS","STANDARD",0,2012,0
"41","NDA212608",2020-01-09,1,7,"AVAPRITINIB","TABLET;ORAL","AYVAKIT",1,"BLUEPRINT MEDICINES","PRIORITY",0,2020,0
"42","NDA210238",2018-05-21,1,7,"AVATROMBOPAG MALEATE","TABLET;ORAL","DOPTELET",1,"AKARX INC","PRIORITY",0,2018,0
"43","NDA206494",2015-02-25,1,8,"AVIBACTAM SODIUM; CEFTAZIDIME","POWDER;INTRAVENOUS","AVYCAZ",1,"ALLERGAN","PRIORITY",0,2015,0
