"","ingredient","date","plans","plans_pa_free","plans_pa_only","covering_plans","uncovered_plans","prop_covering_plans_pa_free","prop_all_plans_pa_free","any_pa_free_enrollment","pa_only_enrollment","total_enrollment","uncovered_enrollment","prop_apf","prop_pao","prop_uncov","generic","combination_totalnumber","first_approval_date","first_appearance_date","first_generic_approval_date","branded_approvals","generic_approvals","date_10_percent_g","date_50_percent_g","total_ndcs","anda_ndcs","nda_ndcs","nda_authorized_generic_ndcs","approval_date1","reform","conversion_date","period","conversion_period","ingredient_id"
"1","ABALOPARATIDE",2017-12-31,360,37,236,273,87,0.135531135531136,0.102777777777778,19018815.8333333,13753231.5,42975235.6666667,10203188.3333333,0.442552915377846,0.320026901229248,0.237420183392905,0,0,2017-04-28,2017-12-31,NA,1,NA,NA,NA,273,0,273,0,NA,0,NA,19,0,1
"2","ABALOPARATIDE",2018-06-30,360,39,241,280,80,0.139285714285714,0.108333333333333,21189266.1666667,12815191.3333333,43940940.8333333,9936483.33333334,0.482221494688448,0.291645811179623,0.226132694131929,0,0,2017-04-28,2017-12-31,NA,1,NA,NA,NA,280,0,280,0,NA,0,NA,20,0,1
"3","ABALOPARATIDE",2018-12-31,381,42,277,319,62,0.13166144200627,0.110236220472441,22243619.5,14645263.3333333,44439815.6666667,7550932.83333333,0.500533568069781,0.329552747094728,0.169913684835491,0,0,2017-04-28,2017-12-31,NA,1,NA,NA,NA,319,0,319,0,NA,0,NA,21,0,1
"4","ABALOPARATIDE",2019-06-30,381,42,277,319,62,0.13166144200627,0.110236220472441,21816263.1666667,15634619,45486150.1666667,8035267.99999999,0.479624305128688,0.34372262639755,0.176653068473762,0,0,2017-04-28,2017-12-31,NA,1,NA,NA,NA,319,0,319,0,NA,0,NA,22,0,1
"5","ABALOPARATIDE",2019-12-31,381,44,337,381,0,0.115485564304462,0.115485564304462,22535792.5,16347767.1666667,46040144.8333333,7156585.16666667,0.489481355490523,0.355076362723142,0.155442281786335,0,0,2017-04-28,2017-12-31,NA,1,NA,NA,NA,381,0,381,0,NA,0,NA,23,0,1
"6","ABALOPARATIDE",2020-06-30,381,44,337,381,0,0.115485564304462,0.115485564304462,22833270.1666667,17083372,47111324,7194681.83333333,0.484666280375959,0.362617106664207,0.152716612959834,0,0,2017-04-28,2017-12-31,NA,1,NA,NA,NA,381,0,381,0,NA,0,NA,24,0,1
"7","ABALOPARATIDE",2020-12-31,387,44,343,387,0,0.113695090439276,0.113695090439276,22156808.6666667,18240990,47655291.1666667,7257492.49999999,0.464939110101685,0.382769458614891,0.152291431283424,0,0,2017-04-28,2017-12-31,NA,1,NA,NA,NA,387,0,387,0,NA,0,NA,25,0,1
"8","ABALOPARATIDE",2021-06-30,387,44,343,387,0,0.113695090439276,0.113695090439276,22250811.8333333,18918435.6666667,48524595.8333333,7355348.33333334,0.458547082179888,0.3898731219039,0.151579795916212,0,0,2017-04-28,2017-12-31,NA,1,NA,NA,NA,387,0,387,0,NA,0,NA,26,0,1
"9","ABALOPARATIDE",2021-12-31,392,48,329,377,15,0.127320954907162,0.122448979591837,23546929.1666667,17929788.5,49099205.1666667,7622487.49999999,0.479578622235063,0.365174720021181,0.155246657743757,0,0,2017-04-28,2017-12-31,NA,1,NA,NA,NA,377,0,377,0,NA,0,NA,27,0,1
"10","ABALOPARATIDE",2022-06-30,392,48,329,377,15,0.127320954907162,0.122448979591837,23460900.3333333,18943082.5,49987567.8333333,7583585.00000001,0.469334703611822,0.378955874851909,0.151709421536269,0,0,2017-04-28,2017-12-31,NA,1,NA,NA,NA,377,0,377,0,NA,0,NA,28,0,1
