"","formulary_id","formulary_version","contract_year","ndc","tier_level_value","quantity_limit_yn","quantity_limit_amount","quantity_limit_days","prior_authorization_yn","step_therapy_yn","step_therapy_groups","labelname","drugname","_merge"
"1",7316,8,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"2",7223,4,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"3",7670,13,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"4",7652,14,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"5",7517,8,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"6",7984,8,2007,2050101,3,"N","","","Y","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"7",7700,15,2007,2050101,5,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"8",7835,8,2007,2050101,3,"N","","","Y","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"9",7994,3,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"10",7313,7,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"11",7656,13,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"12",7398,10,2007,2050101,5,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"13",7737,8,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"14",7284,18,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"15",7000,8,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"16",7437,12,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"17",7302,13,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"18",7470,8,2007,2050101,3,"N","","","Y","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"19",7642,13,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"20",7826,14,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"21",7349,11,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"22",7666,5,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"23",7467,15,2007,2050101,3,"N","","","Y","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"24",7488,8,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"25",7724,15,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"26",7493,13,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"27",7781,14,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"28",7400,5,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"29",7512,9,2007,2050101,3,"N","","","Y","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"30",7385,5,2007,2050101,2,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"31",7446,20,2007,2050101,5,"N","","","Y","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"32",7485,8,2007,2050101,3,"N","","","Y","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"33",7736,8,2007,2050101,1,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"34",7858,15,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"35",7739,5,2007,2050101,2,"N","","","Y","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"36",7454,12,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"37",7127,9,2007,2050101,5,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"38",7819,11,2007,2050101,5,"N","","","Y","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"39",7436,3,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"40",7483,16,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"41",7608,12,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"42",7498,11,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"43",7605,14,2007,2050101,2,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"44",7659,13,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"45",7871,9,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"46",7767,5,2007,2050101,3,"N","","","Y","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"47",7426,14,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"48",7748,12,2007,2050101,1,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"49",7530,13,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"50",7236,4,2007,2050101,4,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"51",7885,7,2007,2050101,3,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"52",7504,12,2007,2050101,2,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"53",7712,10,2007,2050101,1,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"54",7476,16,2007,2050101,2,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
"55",7845,7,2007,2050101,5,"N","","","N","N","","NEBCIN PED 10 MG/ML VIAL","NEBCIN",3
