"","formulary_id","formulary_version","contract_year","ndc","tier_level_value","quantity_limit_yn","quantity_limit_amount","quantity_limit_days","prior_authorization_yn","step_therapy_yn","labelname","drugname","_merge"
"1",8255,7,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"2",8127,7,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"3",8346,8,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"4",8360,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"5",8226,7,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"6",8435,8,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"7",8245,11,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"8",8437,7,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"9",8154,5,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"10",8027,21,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"11",8399,6,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"12",8426,7,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"13",8156,5,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"14",8014,12,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"15",8510,8,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"16",8533,14,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"17",8423,5,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"18",8094,9,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"19",8468,10,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"20",8223,8,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"21",8294,12,2008,2060440,2,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"22",8469,9,2008,2060440,5,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"23",8401,6,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"24",8536,13,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"25",8408,6,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"26",8502,4,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"27",8276,8,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"28",8010,7,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"29",8537,6,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"30",8476,8,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"31",8467,9,2008,2060440,4,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"32",8099,6,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"33",8274,7,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"34",8326,7,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"35",8033,7,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"36",8458,7,2008,2060440,5,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"37",8061,7,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"38",8534,6,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"39",8179,14,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"40",8110,5,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"41",8495,10,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"42",8135,9,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"43",8201,6,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"44",8251,8,2008,2060440,3,"N","","","Y","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"45",8473,9,2008,2060440,2,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"46",8448,8,2008,2060440,3,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
"47",8471,9,2008,2060440,5,"N","","","N","N","SEROMYCIN 250 MG PULVULE","SEROMYCIN",3
